height,block_time,encode,nbits
1207887,1517320063,000000000000000000000000000000000000000000000028e26a89313795742b,1b019a2d
1207888,1517320083,000000000000000000000000000000000000000000000028e26b2a660316c602,1b019689
1207889,1517320099,000000000000000000000000000000000000000000000028e26bcdd33bba6b68,1b019103
1207890,1517320108,000000000000000000000000000000000000000000000028e26c72a9c5b41f15,1b018d94
1207891,1517320118,000000000000000000000000000000000000000000000028e26d18f2089b31ff,1b018a20
1207892,1517320142,000000000000000000000000000000000000000000000028e26dc18441f20ee7,1b0184c6
1207893,1517320155,000000000000000000000000000000000000000000000028e26e6c65a8cfac8e,1b017f85
1207894,1517320170,000000000000000000000000000000000000000000000028e26f199e6b22c90d,1b017a56
1207895,1517320201,000000000000000000000000000000000000000000000028e26fc864ec73b4b7,1b0176f9
1207896,1517320237,000000000000000000000000000000000000000000000028e27078c1cc5c5e6c,1b017399
1207897,1517320271,000000000000000000000000000000000000000000000028e2712ac0d79daef2,1b017030
1207898,1517320298,000000000000000000000000000000000000000000000028e271de647500c5f4,1b016cd2
1207899,1517321200,000000000000000000000000000000000000000000000028e27293ae75b60ff4,1b016980
1207900,1517321244,000000000000000000000000000000000000000000000028e2734aa1102832b2,1b016639
1207901,1517321253,000000000000000000000000000000000000000000000028e274034525f99645,1b0162f0
1207902,1517321254,000000000000000000000000000000000000000000000028e274bd9c74b5b826,1b015fb3
1207903,1517321265,000000000000000000000000000000000000000000000028e27579a8995e762b,1b015c82
1207904,1517321279,000000000000000000000000000000000000000000000028e276376b9b88ebf5,1b01595c
1207905,1517321294,000000000000000000000000000000000000000000000028e276f6e6d796c858,1b015642
1207906,1517321298,000000000000000000000000000000000000000000000028e277b81b84bf6e49,1b015334
1207907,1517321307,000000000000000000000000000000000000000000000028e2787b0ab370dd06,1b015032
1207908,1517321309,000000000000000000000000000000000000000000000028e2793fb5e2c1a845,1b014d3b
1207909,1517321324,000000000000000000000000000000000000000000000028e27a061dd5f7f518,1b014a50
1207910,1517321328,000000000000000000000000000000000000000000000028e27ace4324ac38c1,1b014771
1207911,1517321333,000000000000000000000000000000000000000000000028e27b9826d84fa4d2,1b01449d
1207912,1517321338,000000000000000000000000000000000000000000000028e27c63c93191a01d,1b0141d5
1207913,1517321342,000000000000000000000000000000000000000000000028e27d31329ec1ae5b,1b013f0c
1207914,1517321343,000000000000000000000000000000000000000000000028e27e006c73442557,1b013c41
1207915,1517321378,000000000000000000000000000000000000000000000028e27ed1804b3247c4,1b013974
1207916,1517321401,000000000000000000000000000000000000000000000028e27fa4780e57a011,1b0136a5
1207917,1517321435,000000000000000000000000000000000000000000000028e280795ea4653ca7,1b0133d3
1207918,1517321446,000000000000000000000000000000000000000000000028e281503d34087028,1b013101
1207919,1517321447,000000000000000000000000000000000000000000000028e282291e94fe3a94,1b012e2d
1207920,1517321472,000000000000000000000000000000000000000000000028e283040df801f424,1b012b57
1207921,1517321504,000000000000000000000000000000000000000000000028e283e1156cf95b58,1b012881
1207922,1517321525,000000000000000000000000000000000000000000000028e284c04010f5146e,1b0125aa
1207923,1517321525,000000000000000000000000000000000000000000000028e285a19893a5e179,1b0122d3
1207924,1517321534,000000000000000000000000000000000000000000000028e286852abff6a66e,1b011ffb
1207925,1517321549,000000000000000000000000000000000000000000000028e2876b01246ee649,1b011d24
1207926,1517321550,000000000000000000000000000000000000000000000028e288532840056c04,1b011a4c
1207927,1517321552,000000000000000000000000000000000000000000000028e2893dab4c0c4e84,1b011775
1207928,1517321611,000000000000000000000000000000000000000000000028e28a2a96af096fb1,1b01149e
1207929,1517321619,000000000000000000000000000000000000000000000028e28b19f65277737d,1b0111c8
1207930,1517321689,000000000000000000000000000000000000000000000028e28c0bd6789d2d81,1b010ef3
1207931,1517321695,000000000000000000000000000000000000000000000028e28d0043c0087fa8,1b010c1f
1207932,1517321729,000000000000000000000000000000000000000000000028e28df74b27354b33,1b01094c
1207933,1517321730,000000000000000000000000000000000000000000000028e28ef0f91cde4cf4,1b01067b
1207934,1517321732,000000000000000000000000000000000000000000000028e28fed5a679fce6c,1b0103ac
1207935,1517321772,000000000000000000000000000000000000000000000028e290ec7d277d6c3d,1b0100de
1207936,1517321804,000000000000000000000000000000000000000000000028e291ee6de418a325,1b00fe13
1207937,1517321814,000000000000000000000000000000000000000000000028e292f33b89b06197,1b00fb49
1207938,1517321836,000000000000000000000000000000000000000000000028e293faf35cf120ae,1b00f882
1207939,1517321853,000000000000000000000000000000000000000000000028e29505a2fa5df71d,1b00f5be
1207940,1517321873,000000000000000000000000000000000000000000000028e2961359757838dc,1b00f2fc
1207941,1517321899,000000000000000000000000000000000000000000000028e2972425309f0dec,1b00f03d
1207942,1517321903,000000000000000000000000000000000000000000000028e2983814f0041c0c,1b00ed81
1207943,1517321956,000000000000000000000000000000000000000000000028e2994f36acbefc9e,1b00eac9
1207944,1517321976,000000000000000000000000000000000000000000000028e29a6993d57749dc,1b00e819
1207945,1517321997,000000000000000000000000000000000000000000000028e29b873359c2d36f,1b00e573
1207946,1517322003,000000000000000000000000000000000000000000000028e29ca81bf9101785,1b00e2d7
1207947,1517322004,000000000000000000000000000000000000000000000028e29dcc5eab78a679,1b00e03d
1207948,1517322010,000000000000000000000000000000000000000000000028e29ef40a3fd342b9,1b00dda7
1207949,1517322033,000000000000000000000000000000000000000000000028e2a01f2ddb635221,1b00db15
1207950,1517322072,000000000000000000000000000000000000000000000028e2a14dd8fc48d5a5,1b00d887
1207951,1517322107,000000000000000000000000000000000000000000000028e2a28015c29477fb,1b00d601
1207952,1517322119,000000000000000000000000000000000000000000000028e2a3b5eccc6ec287,1b00d384
1207953,1517322150,000000000000000000000000000000000000000000000028e2a4ef668faa880e,1b00d110
1207954,1517322153,000000000000000000000000000000000000000000000028e2a62c8b55a1184f,1b00cea5
1207955,1517322172,000000000000000000000000000000000000000000000028e2a76d64c900c9a9,1b00cc42
1207956,1517322204,000000000000000000000000000000000000000000000028e2a8b1fadfe7a0a6,1b00c9e8
1207957,1517322243,000000000000000000000000000000000000000000000028e2a9fa56fc3e53b8,1b00c796
1207958,1517322245,000000000000000000000000000000000000000000000028e2ab4680b02aae90,1b00c54d
1207959,1517322259,000000000000000000000000000000000000000000000028e2ac967f4b2c29de,1b00c30d
1207960,1517322266,000000000000000000000000000000000000000000000028e2adea5d5b4fad52,1b00c0d4
1207961,1517322285,000000000000000000000000000000000000000000000028e2af4221c4a3eb57,1b00bea4
1207962,1517322285,000000000000000000000000000000000000000000000028e2b09dd4f1dd3d5c,1b00bc7c
1207963,1517322290,000000000000000000000000000000000000000000000028e2b1fd7d33c1cc74,1b00ba5d
1207964,1517322304,000000000000000000000000000000000000000000000028e2b361207e7c9d68,1b00b847
1207965,1517322343,000000000000000000000000000000000000000000000028e2b4c8c65cd31d0a,1b00b639
1207966,1517322386,000000000000000000000000000000000000000000000028e2b634740e33c839,1b00b434
1207967,1517322398,000000000000000000000000000000000000000000000028e2b7a43073a162c2,1b00b237
1207968,1517322404,000000000000000000000000000000000000000000000028e2b918000041ab8f,1b00b043
1207969,1517322465,000000000000000000000000000000000000000000000028e2ba8fe6abf6999d,1b00ae58
1207970,1517322481,000000000000000000000000000000000000000000000028e2bc0be5b8873590,1b00ac77
1207971,1517322491,000000000000000000000000000000000000000000000028e2bd8bfdba074d91,1b00aaa0
1207972,1517322542,000000000000000000000000000000000000000000000028e2bf102e8efbd763,1b00a8d3
1207973,1517322554,000000000000000000000000000000000000000000000028e2c09879b19fd1db,1b00a70f
1207974,1517322556,000000000000000000000000000000000000000000000028e2c224db313b2d19,1b00a556
1207975,1517322588,000000000000000000000000000000000000000000000028e2c3b55f4bcdb0cc,1b00a3a1
1207976,1517322621,000000000000000000000000000000000000000000000028e2c54a0fd43f75cc,1b00a1f1
